obj,ffp,ext
Elastic,material/uniaxial/ElasticMaterial.cpp,Material
ElasticPP,material/uniaxial/ElasticPPMaterial.cpp,Material
Parallel,material/uniaxial/ParallelMaterial.cpp,Material
Series,material/uniaxial/SeriesMaterial.cpp,Material
ElasticPPGap,-,
ENT,material/uniaxial/ENTMaterial.cpp,Material
Steel01,material/uniaxial/Steel01.cpp,-
Steel02,material/uniaxial/Steel02.cpp,-
Steel03,material/uniaxial/Steel03.cpp,-
Concrete01,material/uniaxial/Concrete01.cpp,-
Steel4,material/uniaxial/Steel4.cpp,-
Hysteretic,material/uniaxial/HystereticMaterial.cpp,Material
ReinforcingSteel,material/uniaxial/ReinforcingSteel.cpp,-
Dodd_Restrepo,material/uniaxial/Dodd_Restrepo.cpp,-
DoddRestrepo,-,
Restrepo,-,
RambergOsgoodSteel,material/uniaxial/RambergOsgoodSteel.cpp,-
RambergOsgood,-,
SteelMPF,material/uniaxial/SteelMPF.cpp,-
Concrete02,material/uniaxial/Concrete02.cpp,-
Concrete04,material/uniaxial/Concrete04.cpp,-
Concrete06,material/uniaxial/Concrete06.cpp,-
Concrete07,material/uniaxial/Concrete07.cpp,-
Concrete01WithSITC,material/uniaxial/Concrete01WithSITC.cpp,-
ConfinedConcrete01,material/uniaxial/ConfinedConcrete01.cpp,-
ConfinedConcrete,-,
ConcreteD,material/uniaxial/ConcreteD.cpp,-
FRPConfinedConcrete,material/uniaxial/FRPConfinedConcrete.cpp,-
FRPConfinedConcrete02,material/uniaxial/FRPConfinedConcrete02.cpp,-
ConcreteCM,material/uniaxial/ConcreteCM.cpp,-
Cast,material/uniaxial/Cast.cpp,-
CastFuse,-,
ViscousDamper,material/uniaxial/ViscousDamper.cpp,-
BilinearOilDamper,material/uniaxial/BilinearOilDamper.cpp,-
Bilin,material/uniaxial/Bilin.cpp,-
BilinMaterial,-,
Bilin02,material/uniaxial/Bilin02.cpp,-
ModIMKPeakOriented,material/uniaxial/ModIMKPeakOriented.cpp,-
ModIMKPeakOriented02,material/uniaxial/ModIMKPeakOriented02.cpp,-
ModIMKPinching,material/uniaxial/ModIMKPinching.cpp,-
ModIMKPinching02,material/uniaxial/ModIMKPinching02.cpp,-
SAWS,material/uniaxial/SAWSMaterial.cpp,Material
SAWSMaterial,material/uniaxial/SAWSMaterial.cpp,-
BarSlip,material/uniaxial/BarSlipMaterial.cpp,Material
Bond_SP01,material/uniaxial/Bond_SP01.cpp,-
Bond,-,
Fatigue,material/uniaxial/FatigueMaterial.cpp,Material
Hardening,material/uniaxial/HardeningMaterial.cpp,Material
Impact,material/uniaxial/ImpactMaterial.cpp,Material
ImpactMaterial,material/uniaxial/ImpactMaterial.cpp,-
HyperbolicGapMaterial,material/uniaxial/HyperbolicGapMaterial.cpp,-
LimitState,material/uniaxial/limitState/LimitStateMaterial.cpp,Material
MinMax,material/uniaxial/MinMaxMaterial.cpp,Material
MinMaxMaterial,material/uniaxial/MinMaxMaterial.cpp,-
TensionOnly,material/uniaxial/TensionOnlyMaterial.cpp,Material
ElasticBilin,material/uniaxial/ElasticBilin.cpp,-
ElasticBilinear,-,
ElasticMultiLinear,material/uniaxial/ElasticMultiLinear.cpp,-
ElasticPowerFunc,material/uniaxial/ElasticPowerFunc.cpp,-
MultiLinear,material/uniaxial/MultiLinear.cpp,-
InitStrainMaterial,material/uniaxial/InitStrainMaterial.cpp,-
InitStrain,material/uniaxial/InitStrainMaterial.cpp,Material
InitStressMaterial,material/uniaxial/InitStressMaterial.cpp,-
InitStress,material/uniaxial/InitStressMaterial.cpp,Material
PathIndependent,material/uniaxial/PathIndependentMaterial.cpp,Material
Pinching4,material/uniaxial/Pinching4Material.cpp,Material
ECC01,material/uniaxial/ECC01.cpp,-
SelfCentering,material/uniaxial/SelfCenteringMaterial.cpp,Material
Viscous,material/uniaxial/ViscousMaterial.cpp,Material
BoucWen,material/uniaxial/BoucWenMaterial.cpp,Material
BWBN,material/uniaxial/BWBN.cpp,-
PySimple1,material/uniaxial/PY/PySimple1.cpp,-
TzSimple1,material/uniaxial/PY/TzSimple1.cpp,-
QzSimple1,material/uniaxial/PY/QzSimple1.cpp,-
PyLiq1,material/uniaxial/PY/PyLiq1.cpp,-
TzLiq1,material/uniaxial/PY/TzLiq1.cpp,-
KikuchiAikenHDR,material/uniaxial/KikuchiAikenHDR.cpp,-
KikuchiAikenLRB,material/uniaxial/KikuchiAikenLRB.cpp,-
AxialSp,material/uniaxial/AxialSp.cpp,-
AxialSpHD,material/uniaxial/AxialSpHD.cpp,-
PinchingLimitStateMaterial,material/uniaxial/limitState/PinchingLimitStateMaterial.cpp,-
CFSWSWP,material/uniaxial/CFSWSWP.cpp,-
CFSSSWP,material/uniaxial/CFSSSWP.cpp,-
SteelBRB,material/uniaxial/SteelBRB.cpp,-
SimpleFractureMaterial,material/uniaxial/SimpleFractureMaterial.cpp,-
SimpleFracture,material/uniaxial/SimpleFractureMaterial.cpp,Material
Maxwell,material/uniaxial/Maxwell.cpp,-
MaxwellMaterial,-,
DoddRestr,material/uniaxial/DoddRestr.cpp,-
Steel2,material/uniaxial/Steel2.cpp,-
OriginCentered,material/uniaxial/OriginCentered.cpp,-
HookGap,material/uniaxial/HookGap.cpp,-
pyUCLA,material/uniaxial/pyUCLA.cpp,-
PYUCLA,-,
Steel01Thermal,material/uniaxial/Steel01Thermal.cpp,-
Steel02Thermal,material/uniaxial/Steel02Thermal.cpp,-
ConcretewBeta,material/uniaxial/ConcretewBeta.cpp,-
ConcreteSakaiKawashima,material/uniaxial/ConcreteSakaiKawashima.cpp,-
Concrete02Thermal,material/uniaxial/Concrete02Thermal.cpp,-
ResilienceLow,material/uniaxial/ResilienceLow.cpp,-
ResilienceMaterialHR,material/uniaxial/ResilienceMaterialHR.cpp,-
Elastic2,material/uniaxial/Elastic2Material.cpp,Material
Backbone,material/uniaxial/BackboneMaterial.cpp,Material
ConcreteZ01Material,-,
ConcreteZ01,-,
ConcreteL01Material,-,
ConcreteL01,-,
SteelZ01Material,-,
SteelZ01,-,
TendonL01Material,-,
TendonL01,-,
Cable,material/uniaxial/CableMaterial.cpp,Material
ShearPanel,material/uniaxial/ShearPanelMaterial.cpp,Material
SteelMP,material/uniaxial/SteelMP.cpp,-
SmoothPSConcrete,material/uniaxial/SmoothPSConcrete.cpp,-
UniaxialJ2Plasticity,material/uniaxial/UniaxialJ2Plasticity.cpp,-
OOHysteretic,material/uniaxial/OOHystereticMaterial.cpp,Material
UVCuniaxial,material/uniaxial/UVCuniaxial.cpp,-
IMKBilin,material/uniaxial/IMKBilin.cpp,-
IMKPinching,material/uniaxial/IMKPinching.cpp,-
IMKPeakOriented,material/uniaxial/IMKPeakOriented.cpp,-
