obj,o3_name,cpp_name
Elastic,e_mod-epos-eneg-eta,E-Epos-Eneg-eta
ElasticPP,fy-e_mod-ep,Fy-E-ep
Parallel,,
Series,,
ENT,e_mod,E
Steel01,fy-e_mod-b-a1-a2-a3-a4,Fy-E-b-a1-a2-a3-a4
Steel02,fy-e_mod-b-a1-a2-a3-a4,Fy-E-b-a1-a2-a3-a4
Steel03,,
Concrete01,fc-epsco-fcu-epscu,fc-epsco-fcu-epscu
Steel4,,
Hysteretic,,
ReinforcingSteel,,
Dodd_Restrepo,,
RambergOsgoodSteel,,
SteelMPF,,
Concrete02,,
Concrete04,,
Concrete06,,
Concrete07,,
Concrete01WithSITC,,
ConfinedConcrete01,fc-epsco-fcu-epscu,fc-epsco-fcu-epscu
ConcreteD,,
FRPConfinedConcrete,fc1-fc2-epsco-d-c-ej-sj-tj-eju-s-fyl-fyh-dlong-dtrans-es-vo-k-use_buck,fc1-fc2-epsco-D-c-Ej-Sj-tj-eju-S-fyl-fyh-dlong-dtrans-Es-vo-k-useBuck
FRPConfinedConcrete02,,
ConcreteCM,,
Cast,,
ViscousDamper,e_mod-eta,E-eta
BilinearOilDamper,k-c-fr-p-l_gap,K-C-Fr-p-LGap
Bilin,,
Bilin02,,
ModIMKPeakOriented,,
ModIMKPeakOriented02,,
ModIMKPinching,,
ModIMKPinching02,,
SAWS,,
SAWSMaterial,,
BarSlip,,
Bond_SP01,,
Fatigue,,
Hardening,fy-e_mod-hkin-hiso,Fy-E-Hkin-Hiso
Impact,,
ImpactMaterial,,
HyperbolicGapMaterial,,
LimitState,state_flag,stateFlag
MinMax,,
MinMaxMaterial,,
TensionOnly,,
ElasticBilin,,
ElasticMultiLinear,,
ElasticPowerFunc,,
MultiLinear,,
InitStrainMaterial,,
InitStrain,,
InitStressMaterial,f0,F0
InitStress,f0,F0
PathIndependent,,
Pinching4,,
ECC01,,
SelfCentering,,
Viscous,c-alpha-min_vel,C-Alpha-minVel
BoucWen,alpha-ko-n-gamma-beta-ao-delta_a-delta_nu-delta_eta,alpha-ko-n-gamma-beta-Ao-deltaA-deltaNu-deltaEta
BWBN,,
PySimple1,,
TzSimple1,,
QzSimple1,,
PyLiq1,update_material_stage,updateMaterialStage
TzLiq1,update_material_stage,updateMaterialStage
KikuchiAikenHDR,,
KikuchiAikenLRB,,
AxialSp,,
AxialSpHD,,
PinchingLimitStateMaterial,,
CFSWSWP,,
CFSSSWP,,
SteelBRB,e_mod-sigma_y0-sigma_y_t-alpha_t-beta_t-delta_t-sigma_y_c-alpha_c-beta_c-delta_c-plastic_strain-cum_plastic_strain-dissipated_energy-plastic_strain_sensitivity-cum_plastic_strain_sensitivity-stress_sensitivity-strain_sensitivity,E-sigmaY0-sigmaY_T-alpha_T-beta_T-delta_T-sigmaY_C-alpha_C-beta_C-delta_C-plasticStrain-cumPlasticStrain-dissipatedEnergy-plasticStrainSensitivity-cumPlasticStrainSensitivity-stressSensitivity-strainSensitivity
SimpleFractureMaterial,,
SimpleFracture,,
Maxwell,,
DoddRestr,,
Steel2,,
OriginCentered,,
HookGap,e_mod-eta,E-eta
pyUCLA,,
Steel01Thermal,fy-e_mod-b-a1-a2-a3-a4,fy-E-b-a1-a2-a3-a4
Steel02Thermal,,
ConcretewBeta,,
ConcreteSakaiKawashima,,
Concrete02Thermal,,
ResilienceLow,,
ResilienceMaterialHR,,
Elastic2,zero_e-e_mod-eta,zeroE-E-eta-zeroE
Backbone,,
Cable,e_mod-eta,E-eta
ShearPanel,,
SteelMP,fy-e_mod-b,fy-E-b
SmoothPSConcrete,fc-epso-epscu-fcu-ec-eta,fc-epso-epscu-fcu-Ec-eta
UniaxialJ2Plasticity,fy-e_mod-hkin-hiso,fy-E-Hkin-Hiso
OOHysteretic,,
UVCuniaxial,,
IMKBilin,,
IMKPinching,,
IMKPeakOriented,,
